Ticker,Trailing P/E,Forward P/E,Revenue (ttm),EBITDA (ttm),Total Cash (mrq),Total Debt (mrq),Forward Annual Dividend Yield,Payout Ratio,52-Week Change,Short % of Float 
CSCO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
INTC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AAPL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TGT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
STX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WMT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
